time,user,event,ip
10:01,user1,login_success,192.168.1.10
10:05,user1,login_success,192.168.1.10
10:10,user2,file_access,192.168.1.20

22:01,hacker,login_failed,10.0.0.99
22:02,hacker,login_failed,10.0.0.99
22:03,hacker,login_failed,10.0.0.99

23:01,hacker,login_failed,10.0.0.100
23:05,hacker,login_failed,10.0.0.100
23:10,userX,file_delete,192.168.1.50
23:15,userY,password_change,192.168.1.60
23:20,userZ,login_failed,10.1.1.1

00:01,hacker,login_failed,10.0.0.101
00:05,hacker,login_failed,10.0.0.101
00:10,userA,file_delete,192.168.1.70
00:15,userB,login_failed,172.16.0.5
00:20,userC,login_failed,172.16.0.6
